rrul,TCP download BE,TCP upload sum,TCP upload BK,Ping (ms) UDP BE,Ping (ms) UDP BK,TCP upload BE,Ping (ms) avg,Ping (ms) ICMP,TCP download BK,TCP totals,TCP upload avg,TCP download EF,TCP download CS5,Ping (ms) UDP EF,TCP upload EF,TCP upload CS5,TCP download sum,TCP download avg
30.8,20.3165997163,,,,,,175.373913491,175.373913491,14.2148863201,99.4183244298,,20.8640851521,44.0227532413,,,,99.4183244298,24.8545811075
31.0,25.9776372219,,,,,,178.773067742,178.773067742,18.4033850702,84.9110279051,,14.7753461423,25.7546594706,,,,84.9110279051,21.2277569763
31.2,25.0883002693,,,,,,179.239798978,179.239798978,20.1010419128,74.8713456111,,14.1734506309,15.5085527982,,,,74.8713456111,18.7178364028
31.4,21.8293189522,,,,,,186.18878456,186.18878456,17.8694152428,92.5939759515,,15.5125490159,37.3826927406,,,,92.5939759515,23.1484939879
31.6,19.8941022713,,,,,,200.887604734,200.887604734,13.6569144672,70.9650538271,,16.2092442605,21.2047928281,,,,70.9650538271,17.7412634568
31.8,21.0326687464,,,,,,196.588982082,196.588982082,8.9348499944,63.3158432886,,15.7684516129,17.5798729348,,,,63.3158432886,15.8289608221
32.0,22.1884139037,,,,,,192.29035943,192.29035943,17.3571203096,80.537438624,,17.8878023296,23.1041020811,,,,80.537438624,20.134359656
32.2,21.6896510262,,,,,,189.823647584,189.823647584,18.4622507424,83.5807645811,,18.3707851334,25.0580776791,,,,83.5807645811,20.8951911453
32.4,21.6162650005,,,,,,193.335181168,193.335181168,17.9294641009,77.9692543448,,14.8384736199,23.5850516236,,,,77.9692543448,19.4923135862
32.6,21.92,,,,,,196.846710565,196.846710565,14.7325969717,68.5300372295,,9.96347824261,21.9139620152,,,,68.5300372295,17.1325093074
32.8,21.5828570494,,,,,,200.30086519,200.30086519,14.8535879611,72.6369872865,,14.4670948396,21.7334474365,,,,72.6369872865,18.1592468216
33.0,21.5499442755,,,,,,203.441590925,203.441590925,14.6512977684,72.8918824594,,15.0303827086,21.6602577069,,,,72.8918824594,18.2229706149
33.2,21.8066434237,,,,,,208.651478195,208.651478195,14.6777162107,73.8262412265,,14.9110234952,22.4308580969,,,,73.8262412265,18.4565603066
33.4,21.351757457,,,,,,213.861365466,213.861365466,10.0705836135,69.654742826,,14.9135647267,23.3188370288,,,,69.654742826,17.4136857065
33.6,21.119879905,,,,,,212.077104181,212.077104181,11.4207322786,70.032466068,,15.0604763127,22.4313775716,,,,70.032466068,17.508116517
33.8,21.3392498616,,,,,,210.101639095,210.101639095,13.5593204045,71.9780018034,,15.2747440769,21.8046874604,,,,71.9780018034,17.9945004509
